1a0s_P	18	74	483	409
1af6_A	18	2	421	419
1ek9_A	4	39	290	251
1fep_A	22	154	723	569
1i78_A	10	8	297	289
1kmo_A	22	224	740	516
1p4t_A	8	4	153	149
1pho_A	16	12	340	328
1qd5_A	12	35	265	230
1qj8_A	8	2	148	146
1qjp_A	8	6	170	164
1t16_A	14	43	421	378
1tly_A	12	14	272	258
1uun_A	2	72	120	48
1uyn_X	12	819	1084	265
1xkw_A	22	188	719	531
1yc9_A	4	73	319	246
2erv_A	8	2	148	146
2f1v_A	8	6	191	185
2fgr_A	16	3	332	329
2gr7_A	4	76	128	52
2gsk_A	22	137	593	456
2hdi_A	22	165	662	497
2iah_A	22	278	812	534
2k0l_A	8	19	192	173
2lhf_A	8	3	177	174
2lme_A	4	53	104	51
2maf_A	8	8	237	229
2por_A	16	3	301	298
2qom_A	12	1039	1300	261
2vdf_A	10	9	253	244
2wjr_A	12	3	213	210
2x27_X	8	10	210	200
2x55_A	10	14	292	278
2x9k_A	14	7	280	273
2y0l_A	18	19	402	383
2ynk_A	18	93	472	379
2zfg_A	16	10	339	329
3a2s_X	16	3	341	338
3aeh_A	12	1115	1377	262
3b07_B	2	112	150	38
3bry_A	14	43	435	392
3bs0_A	14	44	433	389
3csl_A	22	242	862	620
3d5k_A	4	88	332	244
3dwo_X	14	44	441	397
3dzm_A	8	3	205	202
3efm_A	22	162	651	489
3emn_X	19	25	283	258
3fhh_A	22	136	639	503
3fid_A	12	2	295	293
3fip_A	24	147	633	486
3gp6_A	8	21	161	140
3j9c_A	2	103	180	77
3jty_A	18	38	419	381
3kvn_A	12	348	621	273
3nsg_A	16	14	341	327
3o44_A	2	142	189	47
3ohn_A	24	141	656	515
1prn_A	16	3	289	287
3qlb_A	22	162	697	535
3qq2_A	12	748	1008	260
3qra_A	8	30	182	152
3sy7_A	18	18	420	402
3sy9_A	18	14	421	407
3syb_A	18	43	458	415
3sys_A	18	10	390	380
3szd_A	18	14	396	382
3szv_A	18	7	384	377
3t0s_A	18	7	391	384
3t24_A	18	7	393	386
3v8x_A	22	187	914	727
3w9t_A	2	303	367	64
3wi4_A	16	3	312	310
3x2r_A	4	150	224	74
4afk_A	18	43	490	447
4aip_A	22	184	741	557
4aui_A	16	3	306	303
4c00_A	16	267	572	305
4cu4_A	22	161	722	561
4d5b_A	14	22	322	300
4d65_A	16	10	342	332
4e1s_A	12	212	409	197
4e1t_A	12	151	350	199
4epa_A	22	140	650	510
4fqe_A	12	1	215	214
4frt_A	18	7	391	384
4frx_A	18	8	428	420
4fso_A	18	7	399	392
4fsp_A	18	8	392	384
4ft6_A	18	8	387	379
4fuv_A	8	19	224	205
4gey_A	16	28	420	392
4h56_A	2	118	158	40
4k3b_A	16	425	788	363
4k3c_A	16	422	793	371
4k7r_A	4	82	323	241
4mee_A	12	1005	1284	279
4mt0_A	4	79	321	242
4mt4_A	4	82	332	250
4n75_A	16	427	810	383
4q35_A	26	232	759	527
4qky_A	16	212	554	342
4rdr_A	22	149	731	582
4rjw_A	16	28	413	385
4rl8_A	12	16	268	252
4rl9_A	8	19	227	208
4rlb_A	8	17	225	208
4rlc_A	8	6	160	154
4tw1_B	2	136	174	38
4y25_A	16	518	807	289
4zgv_A	22	212	866	654
5azp_A	4	79	325	246
5azs_A	4	80	328	248
5dl5_A	18	14	415	401
5dl6_A	18	8	398	390
5dl7_A	18	7	404	397
5dl8_B	18	10	392	382
5fok_A	22	157	717	560
5fp1_A	22	146	714	568
5fp2_A	22	163	713	550
5fq8_B	22	176	983	807
5fr8_A	22	164	729	565
5fvn_A	16	10	341	331
5gaq_A	2	34	106	72
5iv9_A	26	208	731	523
5iva_A	26	50	615	565
5ixm_A	26	4	527	523
5ldv_A	18	14	408	394
5m9b_A	22	156	720	564
5mdo_A	16	20	350	330
5nec_A	22	157	730	573
5nxr_A	16	10	351	341
5o65_A	12	108	406	298
5t3r_D	22	214	1016	802
6ehb_A	16	21	319	298
6ehd_A	16	10	324	314
7ahl_A	2	109	150	41
