PDB	Component Code
1uun_A	0
3b07_A	2
3b07_B	2
3j9c_A	0
3o44_A	2
3w9t_A	2
4h56_A	2
4tw1_A	2
4tw1_B	2
5gaq_A	0
7ahl_A	2
1ek9_A	3
1yc9_A	3
2gr7_A	7
2lme_A	7
3d5k_A	3
3x2r_A	0
4k7r_A	3
4mt0_A	3
4mt4_A	3
5azp_A	3
5azs_A	3
1p4t_A	1
1qj8_A	1
2erv_A	1
2f1v_A	1
2k0l_A	1
2lhf_A	1
2maf_A	1
2x27_X	1
3dzm_A	1
3gp6_A	0
3qra_A	1
4fuv_A	1
4rl9_A	1
4rlb_A	1
4rlc_A	1
1qjp_A	1
1i78_A	1
2vdf_A	1
2x55_A	1
1tly_A	0
1uyn_X	1
2qom_A	1
2wjr_A	1
3aeh_A	1
3fid_A	0
3kvn_A	1
3qq2_A	1
4e1s_A	1
4e1t_A	1
4fqe_A	1
4mee_A	1
4rl8_A	1
1qd5_A	0
1t16_A	1
2x9k_A	1
3bry_A	1
3bs0_A	1
3dwo_X	1
4d5b_A	1
4c00_A	4
4gey_A	1
4k3b_A	4
4k3c_A	4
4n75_A	4
4qky_A	4
4y25_A	1
1pho_A	1
2fgr_A	1
2j1n_A	1
2por_A	1
2zfg_A	1
3a2s_X	1
3nsg_A	1
3prn_A	1
3wi5_A	1
4aui_A	1
4d65_A	1
4rjw_A	1
2y0l_A	1
2ynk_A	1
3jty_A	1
3sy7_A	1
3sy9_A	1
3syb_A	1
3sys_A	1
3szd_A	1
3szv_A	1
3t0s_A	1
3t24_A	1
4afk_A	1
4frt_A	1
4frx_A	1
4fso_A	1
4fsp_A	1
4ft6_A	1
5dl5_A	1
5dl6_A	1
5dl7_A	1
5dl8_B	1
1a0s_P	1
1af6_A	1
5ldv_A	1
3emn_X	0
1fep_A	1
1kmo_A	1
1xkw_A	1
2gsk_A	1
2hdi_A	1
2iah_A	1
3csl_A	1
3efm_A	1
3fhh_A	1
3qlb_A	1
3v8x_A	1
4cu4_A	1
4epa_A	1
4rdr_A	1
4zgv_A	1
5fok_A	1
5fp1_A	1
5fp2_A	1
5fr8_A	1
5t3r_D	1
4aip_A	1
5fq8_B	1
3fip_A	5
3ohn_A	5
4q35_A	9
5iva_A	9
5ixm_A	9
5tcq_A	6
5wq7_A	6
5wq8_A	6
