Orig	Long	Short	Long%	Short%	Smallest	Largest	AvgLong	AvgShort
4afk_A	4xnk_A	3rbh_A	1.014018691588785	0.9766355140186916	-3	4	1.01401869159	0.976635514019
2hdi_A	2hdi_A	2hdf_A	1.0	0.9449275362318841	-1	3	nan	0.944927536232
3csl_A	3ddr_A	5c58_A	1.0430622009569377	0.9186602870813397	-15	14	1.04306220096	0.918660287081
3nsg_A	4kra_A	3nsg_A	1.0471204188481675	1.0	-3	4	1.02792321117	nan
1kmo_A	1kmo_A	1kmp_A	1.0	0.9769452449567724	-3	3	nan	0.976945244957
1qjp_A	1qjp_A	2jmm_A	1.0	0.6972477064220184	-3	10	nan	0.834862385321
2x55_A	2x4m_A	2x55_A	1.0779816513761469	1.0	-8	1	1.07798165138	nan
2gsk_A	3m8b_A	1nqf_A	1.025078369905956	0.896551724137931	-6	11	1.02507836991	0.945141065831
3sy7_A	4foz_A	3sy7_A	1.031111111111111	1.0	-5	4	1.02222222222	nan
4cu4_A	1qkc_A	1fcp_A	1.0191780821917809	0.9561643835616438	-4	5	1.01369863014	0.976712328767
5fq8_B	5fq8_B	5fq7_B	1.0	0.9736147757255936	-1	4	nan	0.973614775726
2zfg_A	3hwb_A	1opf_A	1.0048076923076923	0.9567307692307693	-4	4	1.00480769231	0.961538461538
1uyn_X	1uyn_X	1uyo_X	1.0	0.9567567567567568	-2	5	nan	0.956756756757
2x9k_A	2iwv_A	5mwv_A	1.0732984293193717	0.6387434554973822	-4	12	1.07329842932	0.806282722513
2f1v_A	2f1t_A	2f1v_A	1.0229007633587786	1.0	-2	0	1.02290076336	nan
1t16_A	1t16_A	2r88_A	1.0	0.816793893129771	-4	12	nan	0.910941475827
5nxr_A	5nxr_A	5nxn_A	1.0	0.9339622641509434	-4	9	nan	0.933962264151
2por_A	2por_A	3por_A	1.0	0.9891891891891892	0	1	nan	0.989189189189
6ehd_A	6ehf_A	6ehd_A	1.0297029702970297	1.0	-4	2	1.02475247525	nan
2maf_A	2maf_A	2mlh_A	1.0	0.9315068493150684	-1	3	nan	0.931506849315
3v8x_A	3v8x_A	3v89_A	1.0	0.978401727861771	-4	4	nan	0.978401727862
2qom_A	3slo_A	2qom_A	1.1368421052631579	1.0	-7	0	1.12894736842	nan
3qra_A	3qrc_A	2n2m_A	1.079646017699115	0.8407079646017699	-4	4	1.0796460177	0.884955752212
3wi4_A	3wi4_A	3wi4_A	1.0	1.0	0	0	nan	nan
3sys_A	3sys_A	2qtk_A	1.0	0.9683257918552036	0	2	nan	0.968325791855
2iah_A	5odw_A	1xkh_A	1.0383561643835617	0.8767123287671232	-7	11	1.02602739726	0.876712328767
5t3r_D	5t4y_C	5t3r_D	1.1253644314868805	1.0	-13	2	1.12536443149	nan
2y0l_A	2y0l_A	3t20_A	1.0	0.9955947136563876	0	1	nan	0.995594713656
2x27_X	2x27_X	2n6l_A	1.0	0.3933333333333333	7	16	nan	0.393333333333
5o65_A	5o67_A	5o65_A	1.0517241379310345	1.0	-5	3	1.05172413793	nan
3bs0_A	3bs0_A	3brz_A	1.0	0.9003690036900369	-1	9	nan	0.90036900369
1qj8_A	1qj8_A	2m06_A	1.0	0.7565217391304347	0	6	nan	0.85652173913
4rdr_A	4rdr_A	4rvw_A	1.0	0.8238482384823849	-7	19	nan	0.878048780488
