Other	Prototypical	Hemolysins	Efflux	Assembly	Fim/Usher	Injectisomes	Adhesins	Sugar Porins	LptD
4.9	0.0066	0.2	600.0	2.9	4.0	4.3	0.66	600.0	0.088
0.0066	1.9e-101	2.3	1.4	0.021	0.16	600.0	0.0039	600.0	0.0054
0.2	2.3	8e-104	600.0	600.0	600.0	600.0	600.0	600.0	600.0
600.0	1.4	600.0	6.4e-57	600.0	600.0	600.0	600.0	600.0	600.0
2.9	0.021	600.0	600.0	1.5e-67	4.1	600.0	600.0	600.0	15.0
4.0	0.16	600.0	600.0	4.1	9.9e-84	600.0	0.59	600.0	6.1
4.3	600.0	600.0	600.0	600.0	600.0	4.1e-56	600.0	600.0	600.0
0.66	0.0039	600.0	600.0	600.0	0.59	600.0	2.8e-30	600.0	2.1
600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0
0.088	0.0054	600.0	600.0	15.0	6.1	600.0	2.1	600.0	1.9e-87

1uun_A	3j9c_A	5gaq_A	3x2r_A	3gp6_A	1tly_A	3fid_A	1qd5_A	3emn_X
600.0	600.0	19.0	600.0	6.0	19.0	6.0	4.9	4.9
4.4	10.0	13.0	600.0	0.54	0.38	1.6	0.12	0.0066
600.0	0.2	0.51	600.0	600.0	600.0	600.0	600.0	600.0
600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0
600.0	600.0	4.9	600.0	600.0	15.0	6.3	2.9	600.0
600.0	600.0	600.0	600.0	600.0	5.4	600.0	4.0	16.0
600.0	600.0	15.0	600.0	4.3	600.0	16.0	600.0	600.0
600.0	600.0	600.0	600.0	600.0	8.5	600.0	600.0	0.66
600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0	600.0
14.0	600.0	600.0	600.0	600.0	12.0	600.0	600.0	0.088
