PDB		Prob E-value P-value  Score    SS Cols Query HMM  Template HMM	Query Strands	Template Strands
1EK9_A	9.2E-25	170.6	0.0	195	2-196	208-414	(428)	0,1	2,3
1P4T_A	1.5E-06	33.2	0.0	46	5-50	79-132	(155)	0,1,2	4,5,6
1PHO_A	6.5E-12	81.3	0.0	156	127-293	168-330	(330)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
1QJ8_A	1E-05	30.1	0.0	29	19-48	104-132	(148)	1,2	5,6
1QJP_A	1.4E-07	39.1	0.0	56	6-61	92-147	(171)	0,1,2	4,5,6
1T16_A	1.5E-08	66.8	0.0	72	270-351	322-393	(427)	7,8,9,10	9,10,11,12
1UYN_X	1.5E-07	51.3	0.0	124	61-188	100-239	(308)	1,2,3,4,5,6	3,4,5,6,7,8
1YC9_A	4.5E-24	170.1	0.0	194	33-230	246-439	(442)	0,1	2,3
2FGR_A	1.6E-11	80.4	0.0	142	134-282	172-332	(332)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
2J1N_A	3.7E-11	78.4	0.0	164	126-306	181-346	(346)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
2K0L_A	3E-07	42.9	0.0	63	17-79	108-170	(216)	0,1,2	4,5,6
2LHF_A	1.4E-06	38.8	0.0	55	2-64	91-146	(179)	0,1,2	4,5,6
2POR_A	4.1E-11	74.1	0.0	128	125-271	158-301	(301)	6,7,8,9,10,11,12,13	8,9,10,11,12,13,14,15
2WJR_A	1.9E-09	60.0	0.0	119	53-175	84-213	(214)	3,4,5,6,7,8,9	5,6,7,8,9,10,11
2X27_X	1.2E-05	35.3	0.0	25	45-69	148-172	(212)	1,2	5,6
2X9K_A	1.2E-05	43.9	0.0	20	114-133	236-255	(280)	5,6	11,12
2ZFG_A	2.2E-11	79.7	0.0	155	135-303	176-340	(340)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
3A2S_X	1.5E-09	69.6	0.0	124	181-320	229-355	(355)	7,8,9,10,11,12,13	9,10,11,12,13,14,15
3AEH_A	8.2E-06	41.1	0.0	100	82-184	121-236	(308)	2,3,4,5,6	4,5,6,7,8
3BRY_A	6.4E-08	63.5	0.0	190	132-362	215-404	(441)	3,4,5,6,7,8,9,10	5,6,7,8,9,10,11,12
3BS0_A	5.1E-09	71.8	0.0	187	133-361	217-403	(439)	3,4,5,6,7,8,9,10	5,6,7,8,9,10,11,12
3D5K_A	1.2E-21	160.1	0.0	195	47-245	259-453	(474)	0,1	2,3
3DWO_X	3.4E-07	58.9	0.0	73	282-363	333-407	(451)	7,8,9,10	9,10,11,12
3EMN_X	3.3E-12	83.3	0.0	163	67-236	123-292	(295)	2,3,4,5,6,7,8,9,10,11,12,13,14	6,7,8,9,10,11,12,13,14,15,16,17,18
3KVN_A	1E-05	53.3	0.0	125	378-510	419-562	(632)	1,2,3,4,5,6	3,4,5,6,7,8
3NSG_A	6.2E-11	76.0	0.0	157	134-302	176-341	(341)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
3O44_A	8.6E-08	71.4	0.0	68	339-410	379-451	(593)		
3PRN_A	2.3E-14	96.1	0.0	125	130-261	163-289	(289)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
3QLB_A	6.8E-09	79.0	0.0	73	1-74	8-95	(748)		
3QQ2_A	9.3E-08	50.3	0.0	128	41-171	84-223	(284)	1,2,3,4,5,6	3,4,5,6,7,8
3QRA_A	9.4E-07	33.8	0.0	47	5-51	88-139	(157)	0,1,2	4,5,6
3W9T_A	2.7E-23	176.2	0.0	210	10-237	51-284	(432)		
3WI5_A	1.3E-11	79.1	0.0	144	126-277	160-312	(312)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
4AUI_A	1E-09	67.7	0.0	139	144-292	178-327	(327)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
4C00_A	1.9E-13	108.4	0.0	156	5-172	90-249	(559)		0
4D65_A	7.7E-11	75.3	0.0	163	130-303	177-343	(343)	5,6,7,8,9,10,11,12,13	7,8,9,10,11,12,13,14,15
4FQE_A	3.7E-07	48.2	0.0	88	59-147	90-187	(222)	3,4,5,6,7,8	5,6,7,8,9,10
4K3B_A	1.7E-32	284.0	0.0	308	21-347	89-424	(792)		
4K3C_A	3.8E-06	51.2	0.0	74	2-81	84-158	(532)		
4K7R_A	3.6E-21	152.4	0.0	186	46-231	252-439	(446)	0,1	2,3
4MT0_A	4.9E-22	158.2	0.0	191	41-232	248-441	(447)	0,1	2,3
4MT4_A	1.1E-22	168.3	0.0	194	47-245	262-455	(479)	0,1	2,3
4Q35_A	1.7E-08	82.6	0.0	131	47-184	75-220	(802)		
4RL8_A	2.1E-05	38.4	0.0	130	66-207	114-249	(275)	2,3,4,5,6,7,8	4,5,6,7,8,9,10
4RLC_A	9.3E-06	33.2	0.0	27	40-66	126-152	(175)	1,2	5,6
4Y25_A	1.2E-05	44.7	0.0	145	40-186	105-269	(311)	2,3,4,5,6,7,8,9,10	5,6,7,8,9,10,11,12,13,14
5AZP_A	6.6E-23	166.2	0.0	192	43-236	254-445	(455)	0,1	2,3
5AZS_A	4.3E-22	161.4	0.0	197	42-242	255-451	(468)	0,1	2,3
